scheme,step,hour,load,slice,slice_name,offered_mbps,delivered_mbps,radio_mbps,compute_cap_mbps,eta,d_e2e_ms,d_transport_ms,d_proc_ms,violated,placement
S0,25,3,0.2,3,VIDEO,6.4,6.4,86.15566354869169,32.0,1.577942555836844,115.21659258977148,112.0,1.6,1,central/central/edge
S0,25,3,0.2,4,CPU-OFF,1.6,1.6,85.16133222326624,8.0,1.5597313594004807,132.01977941535966,112.0,18.0,0,central/central/edge
S0,25,3,0.2,5,MQTT,0.4,0.4,78.90056261102333,2.0,1.4450652492861416,114.84671156641174,112.0,0.6,1,central/central/edge
S0,26,3,0.2,1,BE-DL,4.0,4.0,27.572563342646568,20.0,0.5049920026125745,115.01077077153299,112.0,2.0,0,central/central/edge
S0,26,3,0.2,2,YOLO,3.0,3.0,68.51535316817541,15.0,1.2548599481350806,116.8467757441303,112.0,3.6,1,central/central/edge
S0,26,3,0.2,3,VIDEO,6.4,6.4,79.63770975852006,32.0,1.4585661127934075,116.31033707027531,112.0,1.6,1,central/central/edge
S0,26,3,0.2,4,CPU-OFF,1.6,1.6,139.5488336023347,8.0,2.555839443266203,132.28234340903083,112.0,18.0,0,central/central/edge
S0,26,3,0.2,5,MQTT,0.4,0.4,106.70132951575249,2.0,1.954236804317811,113.32247938021983,112.0,0.6,1,central/central/edge
S0,27,3,0.2,1,BE-DL,4.0,4.0,40.148507763846744,20.0,0.7353206550155081,116.69584512950358,112.0,2.0,0,central/central/edge
S0,27,3,0.2,2,YOLO,3.0,3.0,112.3985440267614,15.0,2.0585813924315275,115.87430516722765,112.0,3.6,1,central/central/edge
S0,27,3,0.2,3,VIDEO,6.4,6.4,120.70210640601167,32.0,2.210661289487393,114.3424870208902,112.0,1.6,1,central/central/edge
S0,27,3,0.2,4,CPU-OFF,1.6,1.6,93.35721725187837,8.0,1.709839143807296,133.13384759496418,112.0,18.0,0,central/central/edge
S0,27,3,0.2,5,MQTT,0.4,0.4,121.84060439608486,2.0,2.231512901027195,115.67801220955099,112.0,0.6,1,central/central/edge
S0,28,3,0.2,1,BE-DL,4.0,4.0,56.65953962700905,20.0,1.0377205059891768,115.45699670048145,112.0,2.0,0,central/central/edge
S0,28,3,0.2,2,YOLO,3.0,3.0,63.659114225792585,15.0,1.1659178429632342,115.67330695456842,112.0,3.6,1,central/central/edge
S0,28,3,0.2,3,VIDEO,6.4,6.4,78.23527102705184,32.0,1.4328804217408762,114.58616082857863,112.0,1.6,1,central/central/edge
S0,28,3,0.2,4,CPU-OFF,1.6,1.6,105.5279617320926,8.0,1.932746551869828,130.9473831550607,112.0,18.0,0,central/central/edge
S0,28,3,0.2,5,MQTT,0.4,0.4,62.363958313445714,2.0,1.1421970387077969,115.81695671833225,112.0,0.6,1,central/central/edge
S0,29,3,0.2,1,BE-DL,4.0,4.0,59.05278415743012,20.0,1.081552823396156,115.49647589889469,112.0,2.0,0,central/central/edge
S0,29,3,0.2,2,YOLO,3.0,3.0,89.42411687697735,15.0,1.6378043384061785,117.32527656766483,112.0,3.6,1,central/central/edge
S0,29,3,0.2,3,VIDEO,6.4,6.4,107.39851667085978,32.0,1.9670057998325967,115.83076041099119,112.0,1.6,1,central/central/edge
S0,29,3,0.2,4,CPU-OFF,1.6,1.6,118.84592649056586,8.0,2.176665320340034,131.86356747446925,112.0,18.0,0,central/central/edge
S0,29,3,0.2,5,MQTT,0.4,0.4,49.71217308153588,2.0,0.9104793604676901,114.0734744757052,112.0,0.6,1,central/central/edge
S0,30,3,0.2,1,BE-DL,4.0,4.0,85.06150714665851,20.0,1.557903061294112,115.93545437535175,112.0,2.0,0,central/central/edge
S0,30,3,0.2,2,YOLO,3.0,3.0,78.88201378079658,15.0,1.4447255271208166,118.70454251351455,112.0,3.6,1,central/central/edge
S0,30,3,0.2,3,VIDEO,6.4,6.4,97.02836645275316,32.0,1.7770763086584827,113.65345352314277,112.0,1.6,1,central/central/edge
S0,30,3,0.2,4,CPU-OFF,1.6,1.6,89.67949885176745,8.0,1.6424816639517847,130.7108409098805,112.0,18.0,0,central/central/edge
S0,30,3,0.2,5,MQTT,0.4,0.4,38.3315174785589,2.0,0.7020424446622509,115.62668792763066,112.0,0.6,1,central/central/edge
S0,31,3,0.2,1,BE-DL,4.0,4.0,146.3816661425065,20.0,2.6809828963829028,115.29081501038465,112.0,2.0,0,central/central/edge
S0,31,3,0.2,2,YOLO,3.0,3.0,106.73874706559546,15.0,1.9549221074284884,116.63342999511325,112.0,3.6,1,central/central/edge
S0,31,3,0.2,3,VIDEO,6.4,6.4,96.35515786945666,32.0,1.7647464811255797,115.97590428793741,112.0,1.6,1,central/central/edge
S0,31,3,0.2,4,CPU-OFF,1.6,1.6,83.78179114626197,8.0,1.534465039308827,131.28007269453,112.0,18.0,0,central/central/edge
S0,31,3,0.2,5,MQTT,0.4,0.4,57.73295182866678,2.0,1.0573800701221021,114.12332147592315,112.0,0.6,1,central/central/edge
S0,32,4,0.2,1,BE-DL,4.0,4.0,114.644357093162,20.0,2.099713499874762,115.69720332952497,112.0,2.0,0,central/central/edge
S0,32,4,0.2,2,YOLO,3.0,3.0,121.95269372206272,15.0,2.2335658190853978,116.08359169250177,112.0,3.6,1,central/central/edge
S0,32,4,0.2,3,VIDEO,6.4,6.4,40.653197321931046,32.0,0.7445640535152206,113.68723260852286,112.0,1.6,1,central/central/edge
S0,32,4,0.2,4,CPU-OFF,1.6,1.6,94.74251663575735,8.0,1.7352109273948233,131.73129846945332,112.0,18.0,0,central/central/edge
S0,32,4,0.2,5,MQTT,0.4,0.4,70.33434939165262,2.0,1.288174897283015,112.86724247019865,112.0,0.6,1,central/central/edge
S0,33,4,0.2,1,BE-DL,4.0,4.0,147.39033157302413,20.0,2.6994566222165592,117.47197584279525,112.0,2.0,0,central/central/edge
S0,33,4,0.2,2,YOLO,3.0,3.0,117.80988751998586,15.0,2.1576902476187887,116.16779995132198,112.0,3.6,1,central/central/edge
S0,33,4,0.2,3,VIDEO,6.4,6.4,40.319448319355914,32.0,0.7384514344204379,113.98546241649095,112.0,1.6,1,central/central/edge
S0,33,4,0.2,4,CPU-OFF,1.6,1.6,39.77311940559041,8.0,0.7284454103587986,133.20573321066934,112.0,18.0,0,central/central/edge
S0,33,4,0.2,5,MQTT,0.4,0.4,36.05363577742954,2.0,0.6603229995866216,114.77724409333493,112.0,0.6,1,central/central/edge
S0,34,4,0.2,1,BE-DL,4.0,4.0,132.0839605759585,20.0,2.4191201570688374,117.41635222374974,112.0,2.0,0,central/central/edge
S0,34,4,0.2,2,YOLO,3.0,3.0,98.76904207336602,15.0,1.8089568145305133,117.55459495622254,112.0,3.6,1,central/central/edge
S0,34,4,0.2,3,VIDEO,6.4,6.4,30.564414949440767,32.0,0.5597878195868272,117.0539409678476,112.0,1.6,1,central/central/edge
S0,34,4,0.2,4,CPU-OFF,1.6,1.6,43.73622516155944,8.0,0.8010297648637259,131.77028023486565,112.0,18.0,0,central/central/edge
S0,34,4,0.2,5,MQTT,0.4,0.4,26.72624056154088,2.0,0.4894915853762066,114.13909099377048,112.0,0.6,1,central/central/edge
S0,35,4,0.2,1,BE-DL,4.0,4.0,125.38515691410129,20.0,2.2964314453132104,114.70185624839132,112.0,2.0,0,central/central/edge
S0,35,4,0.2,2,YOLO,3.0,3.0,61.95933481302921,15.0,1.1347863518869818,117.40228750098488,112.0,3.6,1,central/central/edge
S0,35,4,0.2,3,VIDEO,6.4,6.4,68.65401823662445,32.0,1.2573996014033781,113.6576081082027,112.0,1.6,1,central/central/edge
S0,35,4,0.2,4,CPU-OFF,1.6,1.6,39.91192146860295,8.0,0.7309875726850357,133.06480948047113,112.0,18.0,0,central/central/edge
S0,35,4,0.2,5,MQTT,0.4,0.4,67.77542088851669,2.0,1.241308074881258,114.49856060168729,112.0,0.6,1,central/central/edge
S0,36,4,0.2,1,BE-DL,4.0,4.0,42.3707287870586,20.0,0.7760206737556521,116.5805689885054,112.0,2.0,0,central/central/edge
S0,36,4,0.2,2,YOLO,3.0,3.0,29.23109961430673,15.0,0.5353681248041525,117.10963208833098,112.0,3.6,1,central/central/edge
S0,36,4,0.2,3,VIDEO,6.4,6.4,25.45130279977991,32.0,0.46614107691904594,115.6699674871218,112.0,1.6,1,central/central/edge
S0,36,4,0.2,4,CPU-OFF,1.6,1.6,81.6502373205562,8.0,1.4954255919515786,130.03581165754835,112.0,18.0,0,central/central/edge
S0,36,4,0.2,5,MQTT,0.4,0.4,68.65092314139183,2.0,1.257342914677506,112.9795726305445,112.0,0.6,1,central/central/edge
S0,37,4,0.2,1,BE-DL,4.0,4.0,94.92781975846826,20.0,1.7386047574811037,116.64582091324942,112.0,2.0,0,central/central/edge
